3dx,3dy,3dz,2dx1,2dy1,2dx2,2dy2
1.0,-0.6382565498352051,0.29805803298950195,781.6530990600586,467.5431489944458,1611.3409423828125,382.6312780380249
1.0,0.3584446907043457,-0.20464420318603516,970.3134155273438,567.4881148338318,1705.2618026733398,488.2492768764496
1.0,0.17815494537353516,0.7057719230651855,865.4263687133789,759.2295169830322,1665.773048400879,666.3432455062866
0.1873335838317871,-0.6382565498352051,1.0,462.4353790283203,678.6194372177124,1309.602928161621,585.1395177841187
-0.33269786834716797,0.5248875617980957,1.0,525.790901184082,922.0276522636414,1276.736183166504,830.7071900367737
0.2094564437866211,0.04246997833251953,1.0,588.8149452209473,823.7231040000916,1388.6195755004883,729.7311615943909
0.0951681137084961,-1.0,0.4708681106567383,440.0622081756592,457.9908049106598,1272.4104309082031,374.4668161869049
0.39577317237854004,-1.0,-0.5411205291748047,643.5746383666992,207.9344666004181,1420.741081237793,138.01811277866364
1.0,-1.0,0.737119197845459,670.059928894043,494.16563987731934,1560.6025314331055,402.4128806591034
1.0,0.5849161148071289,0.7252340316772461,921.6935920715332,847.3470997810364,1696.8262481689453,754.0272760391235
0.6841096878051758,-0.5075807571411133,1.0,629.483699798584,696.5824055671692,1487.2948837280273,600.5170726776123
-0.3996706008911133,-0.3081703186035156,1.0,365.87061882019043,761.8138360977173,1166.8549346923828,670.8351302146912
-0.7694354057312012,-1.0,-0.5741605758666992,354.20863151550293,255.2026230096817,1091.3254165649414,188.1905221939087
-0.0874791145324707,-1.0,1.0,315.98931312561035,602.5808072090149,1179.2912292480469,510.86734771728516
-0.8919601440429688,-0.22293329238891602,1.0,258.60114097595215,787.0646023750305,1036.4457321166992,698.2624125480652
1.0,0.009099006652832031,-0.6185822486877441,959.1527366638184,398.47946405410767,1691.2193298339844,325.26771068573
0.4752225875854492,0.627962589263916,1.0,754.1948890686035,935.1589751243591,1525.528221130371,839.9252128601074
1.0,-0.8408913612365723,-0.3338446617126465,815.3456497192383,264.12518978118896,1616.5690612792969,189.42852795124054
-0.3996706008911133,-1.0,0.7916865348815918,263.020076751709,556.7139387130737,1098.2202529907227,469.89784955978394
-0.2002124786376953,-1.0,-0.41776466369628906,474.1081237792969,262.9389560222626,1238.5020446777344,192.8077733516693
